,Star,RA_hhmmss,DEC_ddmmss,V,B-V,U-B,V-R,R-I,V-I,n,m,e_V,e_B-V,e_U-B,e_V-R,e_R-I,e_V-I,RA_deg,DEC_deg,R,dxy_deg
23,SA 41-630,21 53 23.508,+45 38 17.36,14.985999999999999,1.0390000000000001,0.787,0.593,+0.513,+1.105,2,1,0.0163,0.0297,0.0035,0.0141,0.0007,0.0141,328.34794999999997,45.63815555555556,14.392999999999999,71.83431441637119
24,SA 41-626,21 53 17.263,+45 37 24.48,14.058,0.9109999999999999,0.687,0.509,+0.451,+0.954,2,1,0.0057,0.0035,0.0460,0.0078,0.0035,0.0035,328.3219291666666,45.623466666666666,13.549,71.84343637221943
25,SA 41-620,21 53 11.306,+45 36 21.13,14.175999999999998,0.77,0.305,0.46799999999999997,+0.475,+0.940,2,1,0.0071,0.0049,0.0099,0.0085,0.0057,0.0028,328.2971083333333,45.605869444444444,13.707999999999998,71.90905597824957
26,GD 391A,20 29 55.304,+39 14 13.08,12.315,0.41,0.205,0.23600000000000002,+0.261,+0.494,15,9,0.0017,0.0015,0.0020,0.0009,0.0009,0.0011,307.48043333333334,39.23696666666667,12.078999999999999,71.93358617048936
27,GD 391G,20 29 45.987,+39 16 34.95,13.675,0.8,0.314,0.451,+0.440,+0.893,8,4,0.0016,0.0023,0.0134,0.0016,0.0020,0.0008,307.44161249999996,39.276375,13.224,72.0073690782942
28,GD 391F,20 29 37.183,+39 17 17.58,12.5,0.544,0.048,0.32899999999999996,+0.331,+0.660,10,5,0.0011,0.0023,0.0026,0.0012,0.0007,0.0014,307.40492916666665,39.28821666666666,12.171,72.00890030733093
29,GD 391E,20 29 43.642,+39 17 17.98,12.409,0.56,0.043,0.326,+0.314,+0.642,14,7,0.0007,0.0008,0.0020,0.0008,0.0012,0.0010,307.4318416666666,39.28832777777777,12.083,72.03356511183534
30,GD 391H,20 29 45.496,+39 18 14.26,14.365,0.723,0.183,0.41700000000000004,+0.396,+0.814,8,4,0.0007,0.0006,0.0042,0.0016,0.0069,0.0068,307.4395666666666,39.30396111111111,13.948,72.05456810454318
31,SA 38-312,18 50 50.491,+45 09 36.42,12.171,1.29,1.187,0.706,+0.666,+1.374,9,5,0.0007,0.0023,0.0022,0.0007,0.0009,0.0007,282.7103791666666,45.16011666666667,11.465,72.06704415414146
32,SA 38-157,18 50 46.519,+45 06 11.51,15.213,1.036,0.831,0.57,+0.523,+1.094,9,5,0.0012,0.0019,0.0086,0.0007,0.0037,0.0033,282.6938291666666,45.10319722222222,14.642999999999999,81.60885803409545
33,SA 38-309,18 50 45.291,+45 07 42.19,12.798,0.682,0.195,0.38299999999999995,+0.372,+0.753,7,4,0.0038,0.0023,0.0083,0.0023,0.0038,0.0023,282.68871249999995,45.12838611111111,12.415000000000001,81.6435536706064
34,SA 38-156,18 50 46.158,+45 05 52.97,15.357999999999999,0.579,-0.069,0.35600000000000004,+0.368,+0.712,12,7,0.0007,0.0031,0.0027,0.0036,0.0039,0.0087,282.692325,45.09804722222223,15.001999999999999,81.69423634119082
35,SA 38-304,18 50 36.293,+45 09 06.83,14.514000000000001,0.595,0.068,0.294,+0.364,+0.657,1,1, ... , ... , ... , ... , ... , ... ,282.6512208333333,45.15189722222222,14.22,82.8873739842401
36,SA 38-149,18 50 41.729,+45 06 37.02,15.186,0.639,0.11,0.33899999999999997,+0.317,+0.657,1,1, ... , ... , ... , ... , ... , ... ,282.6738708333333,45.110283333333335,14.847,83.48274442609218
37,SA 38-303,18 50 34.221,+45 07 26.48,15.062000000000001,0.618,0.09300000000000001,0.33399999999999996,+0.413,+0.746,1,1, ... , ... , ... , ... , ... , ... ,282.64258749999993,45.12402222222222,14.728000000000002,84.87955397963698
38,SA 38-302,18 50 33.197,+45 10 43.05,15.460999999999999,0.932,0.53,0.528,+0.430,+0.955,1,1, ... , ... , ... , ... , ... , ... ,282.6383208333333,45.178625,14.932999999999998,88.97678594733317
39,SA 38-382,18 48 53.856,+45 25 29.95,11.350999999999999,0.586,0.141,0.32899999999999996,+0.313,+0.645,4,2,0.0025,0.0006,0.0029,0.0006,0.0025,0.0018,282.22439999999995,45.42498611111111,11.021999999999998,92.62481330189046
40,SA 38-375,18 48 47.091,+45 24 19.78,11.556,0.584,0.086,0.326,+0.312,+0.643,4,2,0.0013,0.0014,0.0007,0.0013,0.0012,0.0007,282.1962125,45.40549444444444,11.229999999999999,94.01128286005485
41,SA 38-297,18 50 27.011,+45 07 55.90,14.395,0.61,0.13699999999999998,0.34600000000000003,+0.350,+0.696,2,1,0.0021,0.0007,0.0226,0.0042,0.0014,0.0035,282.6125458333333,45.132194444444444,14.049,95.05439744293064
