YYYYMMDD	Filter	Target
20140912	R	3C454-3
20140912	R	3C66A
20140912	R	AO0235+16
20140912	R	CTA102
20140912	R	PKS0420-01
20140912	R	PKS0528+134
20140912	R	PKS0735+17
20140912	R	S5_0716+71
20140913	R	3C454-3
20140913	R	3C66A
20140913	R	AO0235+16
20140913	R	CTA102
20140913	R	PKS0420-01
20140913	R	PKS0528+134
20140913	R	S5_0716+71
20140915	R	3C345
20140915	R	3C371
20140915	R	3C454-3
20140915	R	4C38-41
20140915	R	4C51-37
20140915	R	CTA102
20140915	R	DA406
20140915	R	Mkn501
20140916	R	3C345
20140916	R	3C371
20140916	R	3C454-3
20140916	R	3C66A
20140916	R	4C38-41
20140916	R	4C51-37
20140916	R	AO0235+16
20140916	R	CTA102
20140916	R	DA406
20140916	R	Mkn501
20140916	R	PKS2155-304
20140917	R	3C371
20140917	R	3C454-3
20140917	R	3C66A
20140917	R	4C38-41
20140917	R	4C51-37
20140917	R	AO0235+16
20140917	R	CTA102
20140917	R	DA406
20140917	R	Mkn501
20140917	R	PKS2155-304
20140918	R	3C345
20140918	R	3C371
20140918	R	3C454-3
20140918	R	4C38-41
20140918	R	4C51-37
20140918	R	CTA102
20140918	R	DA406
20140918	R	Mkn501
20140918	R	PKS2155-304
20140926	R	3C345
20140926	R	3C371
20140926	R	3C454-3
20140926	R	3C66A
20140926	R	4C38-41
20140926	R	4C51-37
20140926	R	4C71-07
20140926	R	AO0235+16
20140926	R	CTA102
20140926	R	DA406
20140926	R	Mkn501
20140926	R	OJ248
20140926	R	OJ287
20140926	R	PKS0420-01
20140926	R	PKS0528+134
20140926	R	PKS0735+17
20140926	R	PKS2155-304
20140926	R	S4_0954+65
20140926	R	S5_0716+71
20140927	R	3C345
20140927	R	3C371
20140927	R	3C454-3
20140927	R	3C66A
20140927	R	4C38-41
20140927	R	4C51-37
20140927	R	AO0235+16
20140927	R	CTA102
20140927	R	DA406
20140927	R	Mkn501
20140927	R	PKS2155-304
20140929	R	3C454-3
20140929	R	3C66A
20140929	R	AO0235+16
20140929	R	CTA102
20140929	R	PKS0420-01
20140929	R	PKS0528+134
20140929	R	S5_0716+71
20140930	R	3C454-3
20140930	R	3C66A
20140930	R	AO0235+16
20140930	R	CTA102
20140930	R	OJ248
